MapeoID,PreguntaID,OpcionID,ActividadConfiguracion,Transaccion,RutaIMG,TablaCampo,ValorPropuesto,Notas
m22,p_periodos,o_per_comp,Asignar variante de períodos contables existente,OBBP,Gestión financiera > Parametrizaciones básicas > Documento > Períodos contables > Asignar variante a sociedad,T001-OPVAR,Variante del grupo,La apertura/cierre (OB52) afectará a todas las sociedades de la variante.
m23,p_periodos,o_per_propia,Crear variante de períodos propia y asignarla,OBBO + OBBP + OB52,Gestión financiera > Parametrizaciones básicas > Documento > Períodos contables > Definir variantes para períodos contables abiertos,T010O / T001-OPVAR,Variante nueva = código de la sociedad,"Mantener los períodos abiertos iniciales en OB52 para todas las clases de cuenta (+, A, D, K, M, S)."
m24,p_moneda_paralela,o_mp_si,Definir monedas adicionales de la sociedad (ledger),OB22 / FINSC_LEDGER,Gestión financiera > Parametrizaciones básicas > Libros > Ledger > Definir parametrizaciones de moneda de la sociedad,T001A / FINSC_LD_CMP,Moneda 30 = moneda de grupo (ej. USD),En S/4HANA se define a nivel de ledger en FINSC_LEDGER. Definir antes de la primera contabilización.
m25,p_moneda_paralela,o_mp_no,Sin acción: solo moneda local,-,-,-,Solo moneda 10 (local),Las monedas paralelas no pueden activarse fácilmente después de contabilizar.
m26,p_fsv,o_fsv_std,Asignar variante de status de campo existente,OBC5,Gestión financiera > Parametrizaciones básicas > Documento > Control de campos > Asignar sociedad a variante de status de campo,T001-FSTVA,Variante corporativa (ej. 1000),
m27,p_fsv,o_fsv_nueva,Copiar variante de status de campo y asignarla,OBC4 + OBC5,Gestión financiera > Parametrizaciones básicas > Documento > Control de campos > Definir variantes de status de campo,T004F / T001-FSTVA,Copia de 0001 con ID propio,Ajustar los grupos de status de campo según necesidades locales.
m28,p_usa_co,o_uco_si,Activar componentes de Controlling para la sociedad,OKKP,Controlling > Controlling general > Organización > Actualizar sociedad CO,TKA00 / TKA01,Activar contab. centros de coste y órdenes,
m29,p_usa_co,o_uco_no,Sin acción en CO,-,-,-,-,Poco habitual en S/4HANA: el ledger universal integra CO. Confirmar con el equipo de finanzas.
m30,p_area_co,o_aco_exist,Asignar sociedad a la sociedad CO existente,OX19,Estructura de la empresa > Asignación > Controlling > Asignar sociedad a sociedad CO,TKA02,Sociedad CO corporativa,Requiere mismo plan de cuentas operativo y variante de ejercicio compatible.
m31,p_area_co,o_aco_nueva,Crear sociedad CO y asignar la sociedad,OKKP + OX19,Controlling > Controlling general > Organización > Actualizar sociedad CO,TKA01 / TKA02,Nueva sociedad CO,Definir también la jerarquía estándar de centros de coste (OKEON) y grupos.
m32,p_centros_coste,o_cc_si,Crear jerarquía estándar y centros de coste,OKEON / KS01,Controlling > Contabilidad de centros de coste > Datos maestros > Centros de coste,CSKS / SETNODE,Jerarquía por área organizativa,Solicitar al negocio el listado de centros de coste con responsables.
m33,p_centros_coste,o_cc_no,Sin acción: se usarán centros existentes,-,-,-,-,
m34,p_retenciones,o_ret_si,Configurar retención ampliada (extended withholding tax),SPRO (varias actividades),Gestión financiera > Parametrizaciones básicas > Retención de impuestos > Retención ampliada,T059P / T059Z / T001-WT_NEWWT,Tipos e indicadores de retención por país + activación en sociedad,"Definir tipos de retención, indicadores, cuentas asociadas (OB_WT) y activar en la sociedad."
m35,p_retenciones,o_ret_no,Sin acción en retenciones,-,-,-,-,
m36,p_iva_ind,o_iva_std,Verificar/copiar indicadores de IVA estándar,FTXP,Gestión financiera > Parametrizaciones básicas > Impuesto sobre vol. de negocios > Cálculo > Definir indicadores de IVA,T007A / T007S,Indicadores estándar del esquema del país,Verificar cuentas de impuestos en OB40.
m37,p_iva_ind,o_iva_custom,Crear indicadores de IVA con tarifas locales,FTXP + OB40,Gestión financiera > Parametrizaciones básicas > Impuesto sobre vol. de negocios > Cálculo > Definir indicadores de IVA,T007A / T030K,"Indicadores por tarifa (general, reducida, exenta, excluida)",Levantar matriz de impuestos con el área tributaria antes de configurar.
m38,p_rangos,o_rng_copia,Copiar rangos de números de documento,OBH1,Gestión financiera > Parametrizaciones básicas > Documento > Rangos de números de documento > Copiar a sociedad,NRIV (objeto RF_BELEG),Copia desde sociedad de referencia,Copiar también a ejercicios futuros (OBH2) si los rangos son por ejercicio.
m39,p_rangos,o_rng_manual,Crear rangos de números de documento,FBN1,Gestión financiera > Parametrizaciones básicas > Documento > Rangos de números de documento,NRIV (objeto RF_BELEG),Rangos por clase de documento y ejercicio,Los rangos no se transportan: crearlos directamente en cada ambiente.
m40,p_credito,o_cred_si,Configurar gestión de crédito (FSCM Credit Management),UKM_MY_DCDS / BP + OB38,Gestión financiera > Gestión de créditos (FSCM) / Asignar sociedad a área de control de créditos,T001-KKBER / UKMBP_CMS_SGM,Área de control de crédito + segmento de crédito,En S/4HANA la gestión de crédito clásica fue sustituida por FSCM Credit Management.
m41,p_credito,o_cred_no,Sin acción en gestión de crédito,-,-,-,-,
