PreguntaID,Seccion,Orden,Texto,Ayuda,Tipo,Obligatoria,DependeDePregunta,DependeDeValores
p_co_ordenes,7. Controlling (CO),4,¿Se usarán órdenes internas para control de gastos o proyectos menores?,"Colectores de costes temporales (campañas, eventos, reparaciones, CAPEX menor).",si_no,No,p_usa_co,Sí
p_fm_usa,8. Control presupuestal (FM),1,¿Habrá control presupuestal (Funds Management)?,Control de ejecución del gasto contra presupuesto aprobado.,si_no,Si,,
p_fm_estructura,8. Control presupuestal (FM),2,¿Cómo se estructurará el presupuesto (centros gestores y posiciones presupuestarias)?,Ej.: centros gestores por gerencia y posiciones por naturaleza del gasto.,texto,No,p_fm_usa,Sí
p_fm_capex,8. Control presupuestal (FM),3,¿Se necesitará control de imputación para ejecuciones de proyectos (CAPEX / OPEX)?,Que el gasto de proyectos consuma presupuesto según su clasificación CAPEX u OPEX.,si_no,No,p_fm_usa,Sí
p_ps_usa,9. Proyectos (PS),1,¿La sociedad ejecutará proyectos (inversión u obras) con el módulo PS?,"Proyectos con estructura PEP para planear, ejecutar y controlar costes.",si_no,Si,,
p_ps_capex,9. Proyectos (PS),2,¿Los proyectos de inversión deben capitalizarse en activos fijos?,Liquidación del proyecto a activo en curso (AeC) y luego al activo final.,si_no,No,p_ps_usa,Sí
p_tr_bancos,10. Tesorería (TR/TRM),1,¿Con qué bancos operará la sociedad (cuentas bancarias propias)?,Liste bancos y número aproximado de cuentas por banco.,texto,Si,,
p_tr_extractos,10. Tesorería (TR/TRM),2,¿Se procesarán extractos bancarios electrónicos (conciliación automática)?,Carga de extractos MT940/CAMT.053 con compensación automática de partidas.,si_no,Si,,
p_tr_cash,10. Tesorería (TR/TRM),3,¿Se requiere posición de caja y previsión de liquidez (Cash Management)?,Visibilidad diaria de saldos bancarios y proyección de flujos.,si_no,Si,,
p_trm_instrumentos,10. Tesorería (TR/TRM),4,"¿La sociedad manejará instrumentos financieros (inversiones, deuda, derivados) con TRM?","CDT/depósitos, créditos, bonos, forwards de divisas, coberturas.",si_no,Si,,
p_sd_usa,11. Ventas y facturación (SD),1,¿La sociedad facturará ventas (gestión de facturación SD)?,"Ventas de bienes o servicios con pedidos, entregas y facturas.",si_no,Si,,
p_sd_fe,11. Ventas y facturación (SD),2,¿La facturación debe emitirse electrónicamente ante la autoridad fiscal?,"Facturación electrónica legal (DIAN, SAT, SUNAT, SII, etc.).",si_no,No,p_sd_usa,Sí
p_mm_usa,12. Compras e inventarios (MM),1,¿La sociedad comprará materiales/servicios y manejará inventarios (MM)?,"Compras con pedido, entradas de mercancía y verificación de facturas.",si_no,Si,,
p_mm_valoracion,12. Compras e inventarios (MM),2,¿Cómo se valorarán los inventarios?,Control de precio del material: estándar o media móvil.,unica,No,p_mm_usa,Sí
p_mm_verificacion,12. Compras e inventarios (MM),3,¿La verificación de facturas de compras tendrá tolerancias y bloqueos de pago?,"Diferencias permitidas entre pedido, entrada de mercancía y factura (3-way match).",si_no,No,p_mm_usa,Sí
p_pm_usa,13. Mantenimiento (PM),1,¿La sociedad gestionará mantenimiento de equipos y activos (PM)?,"Mantenimiento correctivo/preventivo de maquinaria, vehículos, instalaciones.",si_no,Si,,
p_pm_ordenes,13. Mantenimiento (PM),2,¿Se usarán órdenes de mantenimiento con costes imputados a CO?,Órdenes correctivas/preventivas que recogen costes de repuestos y mano de obra.,si_no,No,p_pm_usa,Sí
p_rangos,14. Documentos contables,1,¿Cómo se crearán los rangos de números de documento contable?,"Cada clase de documento (KR, DR, SA…) necesita un rango de numeración por sociedad.",unica,Si,,
